iteration,positions,avg_loss,gauntlet_win_rate,ema_win_rate
252,170314,0.01669257,0.218750,0.167413
253,170212,0.01708413,,0.167413
254,170920,0.01721419,0.187500,0.170609
255,171520,0.01614452,,0.170609
256,171122,0.01642917,0.203125,0.175782
257,170094,0.01630410,,0.175782
258,170968,0.01593530,0.203125,0.180133
259,172042,0.01609212,,0.180133
260,171190,0.01616445,0.234375,0.188763
261,170294,0.01628356,,0.188763
262,169680,0.01589917,0.187500,0.188562
263,169814,0.01515341,,0.188562
264,168344,0.01493956,0.203125,0.190879
265,168388,0.01529914,,0.190879
266,168512,0.01531275,0.234375,0.197799
267,168118,0.01579766,,0.197799
268,167172,0.01542288,0.265625,0.208591
269,168598,0.01538212,,0.208591
270,169128,0.01454389,0.203125,0.207721
271,169342,0.01408766,,0.207721
272,169282,0.01528848,0.218750,0.209476
273,168940,0.01469163,,0.209476
274,168274,0.01423577,0.171875,0.203493
275,167758,0.01380193,,0.203493
276,167256,0.01309371,0.109375,0.188519
277,167314,0.01392086,,0.188519
278,166030,0.01390965,0.109375,0.175927
279,165238,0.01417037,,0.175927
280,165872,0.01399197,0.140625,0.170310
281,166882,0.01415553,,0.170310
282,166236,0.01429896,0.109375,0.160615
283,165272,0.01385509,,0.160615
284,165874,0.01361221,0.156250,0.159921
285,165378,0.01379215,,0.159921
286,164570,0.01508361,0.093750,0.149393
287,165062,0.01449874,,0.149393
288,164474,0.01455540,0.156250,0.150484
289,164810,0.01400422,,0.150484
290,163694,0.01448665,0.187500,0.156373
291,164460,0.01485067,,0.156373
292,163148,0.01631011,0.156250,0.156354
293,163988,0.01580782,,0.156354
294,163566,0.01524804,0.171875,0.158823
295,164006,0.01494068,,0.158823
296,164090,0.01583616,0.125000,0.153442
297,165828,0.01464671,,0.153442
298,166086,0.01612644,0.125000,0.148916
299,164506,0.01517178,,0.148916
300,164840,0.01419121,0.125000,0.145111
301,163908,0.01483282,,0.145111
302,163576,0.01584147,0.187500,0.151855
303,171998,0.01416829,,0.151855
304,181072,0.01355765,0.281250,0.172442
305,190390,0.01394961,,0.172442
306,199666,0.01336884,0.273438,0.188511
307,208872,0.01401601,,0.188511
308,210844,0.01362104,0.281250,0.203266
309,212004,0.01378234,,0.203266
310,213522,0.01355756,0.265625,0.213188
311,214428,0.01357796,,0.213188
312,214258,0.01352828,0.218750,0.214073
313,215582,0.01349885,,0.214073
314,214964,0.01337474,0.296875,0.227247
315,215496,0.01394037,,0.227247
316,215392,0.01351744,0.265625,0.233353
317,217400,0.01388817,,0.233353
318,217630,0.01406729,0.265625,0.238487
319,219008,0.01362323,,0.238487
320,218968,0.01301680,0.250000,0.240319
321,219250,0.01368944,,0.240319
322,218378,0.01336072,0.265625,0.244345
323,219660,0.01312149,,0.244345
324,221584,0.01313499,0.218750,0.240273
325,223408,0.01338948,,0.240273
326,223756,0.01390869,0.304688,0.250522
327,223900,0.01312263,,0.250522
328,224052,0.01338350,0.296875,0.257897
329,224306,0.01311065,,0.257897
330,224706,0.01297203,0.265625,0.259126
331,223738,0.01402905,,0.259126
332,223820,0.01370231,0.281250,0.262646
333,224348,0.01514222,,0.262646
334,223596,0.01438738,0.312500,0.270578
335,223540,0.01402630,,0.270578
336,223186,0.01309639,0.390625,0.289678
337,222116,0.01305236,,0.289678
338,222030,0.01327248,0.343750,0.298281
339,223040,0.01367479,,0.298281
340,222936,0.01326271,0.343750,0.305515
341,222374,0.01372933,,0.305515
342,222700,0.01374372,0.250000,0.296683
343,222410,0.01368897,,0.296683
344,221762,0.01451834,0.406250,0.314116
345,222320,0.01528965,,0.314116
346,223324,0.01636906,0.343750,0.318830
347,223578,0.01660208,,0.318830
348,223538,0.01756219,0.328125,0.320309
349,224114,0.01863661,,0.320309
350,223638,0.01966832,0.351562,0.325282
351,225616,0.02026503,,0.325282
352,227406,0.02110447,0.375000,0.333192
353,228344,0.02136877,,0.333192
354,228472,0.02221899,0.343750,0.334872
355,228056,0.02328394,,0.334872
356,228978,0.02343767,0.328125,0.333798
357,229396,0.02392178,,0.333798
358,229366,0.02414185,0.296875,0.327924
359,230076,0.02501530,,0.327924
360,230048,0.02571368,0.312500,0.325470
361,230428,0.02597352,,0.325470
362,231868,0.02647770,0.281250,0.318434
363,232156,0.02695307,,0.318434
364,232352,0.02812533,0.359375,0.324948
365,233428,0.02835149,,0.324948
366,233732,0.02910847,0.328125,0.325454
367,233162,0.02949785,,0.325454
368,234042,0.03037145,0.390625,0.335823
369,234412,0.03027884,,0.335823
370,234726,0.03055539,0.312500,0.332112
371,235278,0.03046242,,0.332112
372,235404,0.03132766,0.328125,0.331478
373,235988,0.03173065,,0.331478
374,235050,0.03170216,0.343750,0.333431
375,234914,0.03175173,,0.333431
376,235096,0.03237971,0.281250,0.325128
377,235346,0.03289027,,0.325128
378,235716,0.03277728,0.328125,0.325605
379,236434,0.03298522,,0.325605
380,236272,0.03268816,0.328125,0.326006
381,236368,0.03259192,,0.326006
382,236490,0.03294187,0.328125,0.326343
383,236640,0.03320548,,0.326343
384,237230,0.03330625,0.359375,0.331599
385,237086,0.03315501,,0.331599
386,237858,0.03343996,0.343750,0.333532
387,237356,0.03337665,,0.333532
388,237440,0.03350356,0.328125,0.332672
389,237236,0.03302190,,0.332672
390,237114,0.03329081,0.343750,0.334434
391,237870,0.03400876,,0.334434
392,238330,0.03406560,0.296875,0.328458
393,238026,0.03406318,,0.328458
394,238158,0.03380491,0.343750,0.330891
395,237722,0.03393218,,0.330891
396,237014,0.03373971,0.296875,0.325479
397,236860,0.03369319,,0.325479
398,236068,0.03345792,0.250000,0.313470
399,236120,0.03354313,,0.313470
400,235738,0.03355074,0.312500,0.313316
401,234862,0.03339111,,0.313316
402,234382,0.03288155,0.281250,0.308214
403,233672,0.03274728,,0.308214
404,232406,0.03297398,0.312500,0.308896
405,233230,0.03325987,,0.308896
406,233336,0.03339251,0.296875,0.306983
407,232470,0.03353710,,0.306983
408,232004,0.03314940,0.367188,0.316562
409,231556,0.03350009,,0.316562
410,231792,0.03316729,0.335938,0.319645
411,231880,0.03305129,,0.319645
412,232750,0.03315619,0.312500,0.318508
413,233154,0.03294820,,0.318508
414,233164,0.03329028,0.296875,0.315066
415,233256,0.03270643,,0.315066
416,232972,0.03264807,0.281250,0.309686
417,232918,0.03221977,,0.309686
418,233528,0.03212402,0.281250,0.305162
419,233756,0.03248274,,0.305162
420,234264,0.03191415,0.281250,0.301357
421,235428,0.03190130,,0.301357
422,235708,0.03134369,0.312500,0.303130
423,236116,0.03160576,,0.303130
424,236986,0.03149753,0.281250,0.299649
425,237554,0.03131796,,0.299649
426,238138,0.03104593,0.250000,0.291750
427,238042,0.03102265,,0.291750
428,238268,0.03145126,0.250000,0.285107
429,238994,0.03166706,,0.285107
430,238826,0.03146122,0.296875,0.286979
431,238766,0.03129753,,0.286979
432,239214,0.03130671,0.265625,0.283582
433,239456,0.03156020,,0.283582
434,239676,0.03127498,0.250000,0.278239
435,239218,0.03153678,,0.278239
436,239526,0.03192565,0.250000,0.273746
437,239460,0.03232815,,0.273746
438,239488,0.03213413,0.234375,0.267482
439,239490,0.03248115,,0.267482
440,239780,0.03239599,0.234375,0.262214
441,239594,0.03307786,,0.262214
442,239384,0.03289645,0.234375,0.257785
443,239376,0.03281034,,0.257785
444,239012,0.03300116,0.234375,0.254060
445,238648,0.03325238,,0.254060
446,237708,0.03333399,0.265625,0.255900
447,238238,0.03382889,,0.255900
448,238156,0.03375806,0.281250,0.259934
449,238130,0.03362997,,0.259934
